key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios
balancaInferior,calibraComPeso,CLB_COM_PESO_IHM,M,60,2108,%MB,
balancaInferior,calibraEmVazio,CLB_VAZIO_IHM,M,62,2110,%MB,
balancaInferior,taraBalancaSuperior,TARA_ZERO_7,D,423,4519,%MW,
balancaInferior,diferencaBalancaSuperior,DIFERENCA_7,D,424,4520,%MW,
balancaInferior,coeficienteBalancaSuperior,COENFICIENTE_7,D,426,4522,%MW,
balancaInferior,limiteMinimo,LIMITE_MINIMO_IHM,D,430,4526,%MW,
balancaInferior,limiteMaximo,LIMITE_MAXIMO_IHM,D,431,4527,%MW,
balancaInferior,valordaCelula,CELULA_B,D,7041,39809,%MW,
balancaSuperior,calibraEmVazio,CLB_VAZIO_IHM,M,15,2063,%MB,
balancaSuperior,calibraComPeso,CLB_COM_PESO_IHM,M,16,2064,%MB,
balancaSuperior,limiteMinimo,LIMITE_MINIMO_IHM,D,413,4509,%MW,
balancaSuperior,LimiteMaximo,LIMITE_MAXIMO_IHM,D,414,4510,%MW,usar o mesmo peso de calibre na segunda balança
balancaSuperior,pesoDeCalibre,PESO_DE_CALIBRE_IHM,D,415,4511,%MW,
balancaSuperior,diferencaBalancaSuperior,DIFERENCA_6,D,416,4512,%MW,
balancaSuperior,taraBalancaSuperior,TARA_ZERO_6,D,418,4514,%MW,array of Dword
balancaSuperior,coeficienteBalancaSuperior,COENFICIENTE_6,D,419,4515,%MW,
balancaSuperior,valordaCelula,CELULA_A,D,7040,39808,%MW,
configExtrusora,Redução,IHM_REDUCAO,D,441,4537,%MW,
configExtrusora,rpmNominal,IHM_RPM_NOMINAL,D,442,4538,%MW,
configFunis,nivelMaxA,FUNIL_MAX_A,D,435,4531,%MW,
configFunis,nivelMaxB,FUNIL_MAX_B,D,436,4532,%MW,
configFunis,nivelMaxC,FUNIL_MAX_C,D,437,4533,%MW,
configFunis,nivelMaxD,FUNIL_MAX_D,D,438,4534,%MW,
configFunis,tempoDeCiclo,TEMPO_CICLO,D,440,4536,%MW,
configFunis,nivelIntermediarioA,FUNIL_INTER_A,D,459,4555,%MW,
configFunis,nivelMinimoA,FUNIL_MIN_A,D,460,4556,%MW,
configFunis,nivelMinimoB,FUNIL_MIN_B,D,461,4557,%MW,
configFunis,nivelIntermediarioB,FUNIL_INTER_B,D,462,4558,%MW,
configFunis,nivelMinimoC,FUNIL_MIN_C,D,463,4559,%MW,
configFunis,nivelIntermediarioC,FUNIL_INTER_C,D,464,4560,%MW,
configFunis,nivelMinimoD,FUNIL_MIN_D,D,465,4561,%MW,
configFunis,nivelIntermediarioD,FUNIL_INTER_D,D,466,4562,%MW,
configPuxador,diametroCilindro,DIAM_CIL_IHM,D,443,4539,%MW,
configPuxador,rpmNominalMotor,RPM_NOM_MOTOR,D,444,4540,%MW,
configPuxador,relacaoReducao,REL_REDUCAO_IHM,D,445,4541,%MW,
configReceita,pesoMaxReceita,PMAX_BS,D,448,4544,%MW,
configReceita,materialA,MATERIAL_A_IHM,D,449,4545,%MW,
configReceita,materialB,MATERIAL_A_IHM,D,450,4546,%MW,
configReceita,materialC,MATERIAL_A_IHM,D,451,4547,%MW,
configReceita,materialD,MATERIAL_A_IHM,D,452,4548,%MW,
configReceita,densidadeA,DENSIDADE_A,D,453,4549,%MW,
configReceita,densidadeB,DENSIDADE_B,D,454,4550,%MW,
configReceita,densidadeC,DENSIDADE_C,D,455,4551,%MW,
configReceita,densidadeD,DENSIDADE_D,D,456,4552,%MW,
configReceita,densidadeMedia,DENSIDADE_NM,D,457,4553,%MW,

alarmes,emergencia,EMERGENCIA,M,0,2048,%MB,
